sep=;
Pelvis Position;COM;Instant Linear Accel;Accel Error;Total Energy
-0.125,0.4,-0.075;-0.1132,0.4984,-0.08126;20.95,-48.22,50.79;0;1.57E+05
-0.125,0.46,-0.075;-0.1093,0.5623,-0.0716;40.3,-73.75,79.27;0;1.568E+05
-0.125,0.52,-0.075;-0.1084,0.6235,-0.06423;41.49,-65.28,79.78;0;1.561E+05
-0.125,0.58,-0.075;-0.1086,0.6839,-0.05983;41.68,-58.43,80.39;0;1.558E+05
-0.125,0.64,-0.075;-0.1094,0.7436,-0.05732;42.37,-56.28,86.38;0;1.548E+05
-0.125,0.7,-0.075;-0.1103,0.8029,-0.0563;42.17,-54.13,89.59;0;1.54E+05
-0.125,0.4,-0.015;-0.1071,0.5094,-0.003985;49.56,-93.58,82.94;0;1.604E+05
-0.125,0.46,-0.015;-0.1073,0.5722,-0.003143;49.57,-101.5,77.52;0;1.632E+05
-0.125,0.52,-0.015;-0.1084,0.6325,-0.0006693;48.79,-100.8,79.81;0;1.629E+05
-0.125,0.58,-0.015;-0.1095,0.6921,0.0009362;49.05,-112.3,93.69;0;1.613E+05
-0.125,0.64,-0.015;-0.1106,0.7507,0.001834;46.56,-103.9,93.96;0;1.597E+05
-0.125,0.7,-0.015;-0.1117,0.8091,0.003012;43.39,-89.86,91.11;0;1.589E+05
-0.125,0.4,0.045;-0.109,0.5139,0.05667;52.15,-119,73.63;0;1.654E+05
-0.125,0.46,0.045;-0.1092,0.5762,0.05607;54.24,-124.3,65.04;0;1.672E+05
-0.125,0.52,0.045;-0.1101,0.6362,0.05684;54.08,-129.1,68.49;0;1.667E+05
-0.125,0.58,0.045;-0.1113,0.6947,0.05757;51.04,-122.8,71.67;0;1.654E+05
-0.125,0.64,0.045;-0.1123,0.7529,0.05891;46.7,-108.5,73.78;0;1.636E+05
-0.125,0.7,0.045;-0.1131,0.811,0.06027;41.61,-91.52,72.77;0;1.613E+05
-0.065,0.4,-0.075;-0.05506,0.5165,-0.05463;46.1,-106.5,74.6;0;1.651E+05
-0.065,0.46,-0.075;-0.05682,0.5787,-0.05048;42.87,-101.3,74.79;0;1.66E+05
-0.065,0.52,-0.075;-0.05802,0.6392,-0.04819;43.25,-116.6,90.92;0;1.648E+05
-0.065,0.58,-0.075;-0.05903,0.6981,-0.04729;42.1,-112,94.02;0;1.635E+05
-0.065,0.64,-0.075;-0.05991,0.7566,-0.04642;40.81,-102.3,95.51;0;1.626E+05
-0.065,0.7,-0.075;-0.06066,0.8147,-0.04562;38.78,-86.58,91.46;0;1.626E+05
-0.065,0.4,-0.015;-0.05919,0.5185,0.009355;42.67,-113.2,78.7;0;1.67E+05
-0.065,0.46,-0.015;-0.05932,0.5805,0.008546;43.86,-120.1,71.81;0;1.677E+05
-0.065,0.52,-0.015;-0.05983,0.6405,0.008817;43.46,-121.2,72.85;0;1.673E+05
-0.065,0.58,-0.015;-0.06042,0.6991,0.009328;41.63,-112.8,74.22;0;1.664E+05
-0.065,0.64,-0.015;-0.06087,0.7575,0.01026;38.79,-99.33,74.88;0;1.642E+05
-0.065,0.7,-0.015;-0.06119,0.8156,0.01109;35.43,-84.04,72.94;0;1.624E+05
-0.065,0.4,0.045;-0.05948,0.5183,0.06442;38.8,-112,62.04;0;1.671E+05
-0.065,0.46,0.045;-0.05938,0.5795,0.06296;41.37,-117.7,55.17;0;1.693E+05
-0.065,0.52,0.045;-0.0598,0.6391,0.06302;40.7,-119.1,56.73;0;1.686E+05
-0.065,0.58,0.045;-0.06025,0.6978,0.06352;37.98,-111.2,59.21;0;1.67E+05
-0.065,0.64,0.045;-0.06061,0.756,0.06433;34.56,-98.61,61.23;0;1.649E+05
-0.065,0.7,0.045;-0.06084,0.8139,0.06511;30.49,-83.09,60.16;0;1.629E+05
-0.005,0.4,-0.075;-0.004148,0.5189,-0.05002;35.39,-92.54,62.98;0;1.662E+05
-0.005,0.46,-0.075;-0.006324,0.581,-0.04649;32.5,-93.16,67.9;0;1.661E+05
-0.005,0.52,-0.075;-0.007414,0.6414,-0.0448;31.74,-105.1,80.26;0;1.648E+05
-0.005,0.58,-0.075;-0.008025,0.7001,-0.04432;31.95,-101.8,83.16;0;1.646E+05
-0.005,0.64,-0.075;-0.008384,0.7585,-0.04367;31.83,-89.12,80.93;0;1.641E+05
-0.005,0.7,-0.075;-0.008575,0.8168,-0.04285;30.19,-74.87,76.62;0;1.614E+05
-0.005,0.4,-0.015;-0.008426,0.5196,0.01128;29.73,-99.51,67.73;0;1.651E+05
-0.005,0.46,-0.015;-0.008579,0.5811,0.01037;30.9,-106.2,63.27;0;1.667E+05
-0.005,0.52,-0.015;-0.008733,0.641,0.01055;31,-108.1,64.52;0;1.662E+05
-0.005,0.58,-0.015;-0.008784,0.6999,0.01107;30.08,-101.1,65.65;0;1.649E+05
-0.005,0.64,-0.015;-0.00873,0.7582,0.01178;28.35,-89.65,65.95;0;1.634E+05
-0.005,0.7,-0.015;-0.008589,0.8162,0.0124;25.87,-76.08,63.71;0;1.619E+05
-0.005,0.4,0.045;-0.008195,0.5185,0.06502;25.69,-102.6,54.5;0;1.659E+05
-0.005,0.46,0.045;-0.008152,0.5795,0.0634;27.74,-107.7,48.07;0;1.68E+05
-0.005,0.52,0.045;-0.008248,0.6391,0.0635;28.32,-108.7,49.37;0;1.675E+05
-0.005,0.58,0.045;-0.008287,0.6978,0.06411;27.36,-102.3,52.28;0;1.66E+05
-0.005,0.64,0.045;-0.008233,0.756,0.0649;25.14,-90.96,54.11;0;1.64E+05
-0.005,0.7,0.045;-0.008086,0.8138,0.06563;21.56,-76.85,53.06;0;1.622E+05
0.055,0.4,-0.075;0.04723,0.5192,-0.05;21.44,-84.98,55.37;0;1.653E+05
0.055,0.46,-0.075;0.04493,0.5821,-0.04758;17.64,-116.1,70.74;0;1.668E+05
0.055,0.52,-0.075;0.04413,0.642,-0.04681;16.51,-115.3,71.56;0;1.657E+05
0.055,0.58,-0.075;0.044,0.7004,-0.04601;18.15,-108.7,76.56;0;1.65E+05
0.055,0.64,-0.075;0.04407,0.7588,-0.04473;19.5,-92.16,74.85;0;1.62E+05
