sep=;
Balanced?;Pelvis Position;Pelvis Angle;Left Hip Angle;Left Knee Angle;Left Ankle Angle;Right Hip Angle;Right Knee Angle;Right Ankle Angle
(0.09644, 0, 0.2724);(-0.125, 0.4, -0.075);(0, 0, 0);(2.876, 0.04123, 8.402);(304.7, 353.6, 12.29);(275.1, 227.9, 139.4);(2.876, 0.04123, 8.402);(304.7, 353.6, 12.29);(274.2, 223, 147.5)
(0.1176, 0, 0.2157);(-0.125, 0.5, -0.075);(0, 0, 0);(11.22, 0.353, 11.07);(298.7, 347.4, 19.53);(306.7, 190.8, 178.1);(11.22, 0.353, 11.07);(298.7, 347.4, 19.53);(306.2, 189.4, 182.6)
(0.118, 0, 0.1777);(-0.125, 0.6, -0.075);(0, 0, 0);(16.81, 0.4833, 11.59);(309.3, 349.8, 16.63);(280.4, 221.1, 145.9);(16.81, 0.4833, 11.59);(309.3, 349.8, 16.63);(279.7, 206.1, 157.9)
(0.114, 0, 0.1472);(-0.125, 0.7, -0.075);(0, 0, 0);(19.5, 0.37, 11.23);(316.7, 351.5, 14.36);(311.2, 350.2, 13.99);(19.5, 0.37, 11.23);(316.7, 351.5, 14.36);(310.3, 353.2, 7.6)
(0.1366, 0, 0.1502);(-0.125, 0.4, 0.025);(0, 0, 0);(29.89, 1.887, 14.97);(298.1, 341.2, 27.02);(284.3, 220.3, 148.7);(29.89, 1.887, 14.97);(298.1, 341.2, 27.02);(283.7, 215.2, 141.4)
(0.1224, 0, 0.09844);(-0.125, 0.5, 0.025);(0, 0, 0);(37.08, 1.724, 14.67);(304.4, 345.1, 22.54);(279.8, 243.1, 125.4);(37.08, 1.724, 14.67);(304.4, 345.1, 22.54);(278, 222.6, 113.5)
(0.1127, 0, 0.06704);(-0.125, 0.6, 0.025);(0, 0, 0);(40.35, 0.675, 13);(311.7, 349, 17.53);(312.6, 349.1, 16.33);(40.35, 0.675, 13);(311.7, 349, 17.53);(310.5, 353.8, 341.3)
(0.102, 0, 0.02121);(-0.125, 0.7, 0.025);(0, 0, 0);(40.98, 359.4, 11.09);(317.3, 351.5, 14.07);(343.8, 353.4, 9.058);(40.98, 359.4, 11.09);(317.3, 351.5, 14.07);(343.6, 0.1074, 337.4)
(0.06208, 0, 0.1342);(-0.025, 0.4, -0.075);(0, 0, 0);(38.55, 356.1, 5.9);(293.5, 352.5, 12.91);(299.6, 351.2, 11.38);(38.55, 356.1, 5.9);(293.5, 352.5, 12.91);(307.4, 353.6, 332.7)
(0.03713, 0, 0.1366);(-0.025, 0.5, -0.075);(0, 0, 0);(39.27, 353.4, 1.557);(288.3, 0.4256, 4.444);(320.3, 358.2, 3.359);(39.27, 353.4, 1.557);(288.3, 0.4255, 4.444);(322.9, 355.8, 326)
(0.02199, 0, 0.101);(-0.025, 0.6, -0.075);(0, 0, 0);(39.7, 351.5, 358.6);(294.4, 5.364, 359.1);(345.8, 359.9, 0.459);(39.7, 351.5, 358.6);(294.4, 5.364, 359.1);(349.2, 0.8836, 322.6)
(0.01203, 0, 0.06428);(-0.025, 0.7, -0.075);(0, 0, 0);(39.09, 350.5, 357);(300.9, 6.672, 357.7);(4.126, 0.1631, 359.1);(39.09, 350.5, 357);(300.9, 6.672, 357.7);(9.798, 5.611, 322.1)
(0.01126, 0, 0.09305);(-0.025, 0.4, 0.025);(0, 0, 0);(45.8, 349.4, 355.3);(294.1, 8.518, 355.6);(318.9, 0.2194, 358.9);(45.8, 349.4, 355.3);(294.1, 8.518, 355.6);(326.3, 5.356, 317.8)
(0.009448, 0, 0.0566);(-0.025, 0.5, 0.025);(0, 0, 0);(49.24, 348.1, 353.5);(298.5, 8.254, 355.9);(337.2, 0.5301, 358.5);(49.24, 348.1, 353.5);(298.5, 8.254, 355.9);(344.4, 8.65, 319.5)
(0.006676, 0, 0.01504);(-0.025, 0.6, 0.025);(0, 0, 0);(50, 347.2, 352.5);(304.4, 7.748, 356.5);(357.4, 0.6649, 358.2);(50, 347.2, 352.5);(304.4, 7.748, 356.5);(4.971, 11.88, 322.6)
(0.00384, 0, -0.0194);(-0.025, 0.7, 0.025);(0, 0, 0);(48.99, 347, 352.2);(310, 7.333, 357);(12.18, 0.678, 357.9);(48.99, 347, 352.2);(310, 7.333, 357);(20.28, 15.43, 325.8)
(-0.0507, 0, 0.09787);(0.075, 0.4, -0.075);(0, 0, 0);(43.46, 341.7, 344.8);(292.8, 27.01, 334.4);(332.4, 0.5272, 351.2);(43.46, 341.7, 344.8);(292.8, 27.01, 334.4);(344.9, 10, 310.8)
(-0.06802, 0, 0.1016);(0.075, 0.5, -0.075);(0, 0, 0);(41.97, 339.7, 341.9);(291.5, 36.5, 324.1);(342.4, 1.786, 348.7);(41.97, 339.7, 341.9);(291.5, 36.5, 324.1);(354, 11.12, 310)
(-0.07333, 0, 0.07585);(0.075, 0.6, -0.075);(0, 0, 0);(41.13, 339.2, 341.1);(296.2, 31.62, 329.5);(359.4, 1.911, 348.4);(41.13, 339.2, 341.1);(296.2, 31.62, 329.5);(11.22, 13.44, 312.8)
(-0.07407, 0, 0.04734);(0.075, 0.7, -0.075);(0, 0, 0);(39.89, 339.5, 341.5);(301.9, 26.32, 335.5);(12.97, 1.951, 348.7);(39.89, 339.5, 341.5);(301.9, 26.32, 335.5);(25.11, 16.89, 316.4)
(-0.09135, 0, 0.07707);(0.075, 0.4, 0.025);(0, 0, 0);(44.39, 335.4, 335.5);(298.7, 34.19, 326.4);(334.4, 1.63, 345.2);(44.39, 335.4, 335.5);(298.7, 34.2, 326.4);(349.1, 20.16, 302.2)
(-0.09064, 0, 0.04276);(0.075, 0.5, 0.025);(0, 0, 0);(46.91, 334.1, 333.6);(302.6, 30.38, 330.8);(350, 1.542, 345.5);(46.91, 334.1, 333.6);(302.6, 30.38, 330.8);(3.475, 23.19, 307.6)
(-0.08601, 0, 0.005694);(0.075, 0.6, 0.025);(0, 0, 0);(47.46, 334.4, 334);(307.6, 25.78, 336.5);(6.274, 1.461, 346.5);(47.46, 334.4, 334);(307.6, 25.78, 336.5);(18.11, 25.58, 314.9)
(-0.08057, 0, -0.02455);(0.075, 0.7, 0.025);(0, 0, 0);(46.56, 335.6, 335.7);(312.4, 22.4, 340.9);(18.3, 1.634, 347.5);(46.56, 335.6, 335.7);(312.4, 22.4, 340.9);(28.58, 28.46, 321.5)
