sep=;
Balanced?;Pelvis;Left Hip;Left Knee;Right Hip;Right Knee
(0.08501, 0, -0.1462);(-0.25, 0.4, -0.075);(0, 0.4, -0.075);(-0.2018, 0.006606, -0.02098);(0.04466, 0.005969, -0.02261);(-0.1656, -0.2484, -0.2332);(0.07838, -0.251, -0.2329)
(0.1067, 0, -0.08386);(-0.25, 0.46, -0.075);(0, 0.46, -0.075);(-0.1813, 0.08247, 0.03793);(0.05651, 0.07609, 0.02205);(-0.1316, -0.17, -0.1747);(0.09782, -0.1618, -0.2084)
(0.1108, 0, -0.03263);(-0.25, 0.52, -0.075);(0, 0.52, -0.075);(-0.1736, 0.157, 0.07475);(0.05707, 0.1423, 0.04373);(-0.1183, -0.1228, -0.09862);(0.09874, -0.09888, -0.1832)
(0.11, 0, -0.003192);(-0.25, 0.58, -0.075);(0, 0.58, -0.075);(-0.172, 0.2263, 0.09466);(0.05289, 0.2059, 0.05625);(-0.1155, -0.06477, -0.05869);(0.0918, -0.04825, -0.1566)
(0.1089, 0, 0.0199);(-0.25, 0.64, -0.075);(0, 0.64, -0.075);(-0.1729, 0.2905, 0.1035);(0.04711, 0.2673, 0.06228);(-0.117, -0.005345, -0.0406);(0.08197, -5.865E-05, -0.1345)
(0.1066, 0, 0.03078);(-0.25, 0.7, -0.075);(0, 0.7, -0.075);(-0.1749, 0.3505, 0.1046);(0.04112, 0.3274, 0.06455);(-0.1208, 0.05377, -0.03826);(0.07158, 0.04862, -0.1164)
(0.1262, 0, -0.05837);(-0.25, 0.4, -0.015);(0, 0.4, -0.015);(-0.1614, 0.05284, 0.1629);(0.05324, 0.02697, 0.1192);(-0.0971, -0.1795, -0.06795);(0.09144, -0.164, -0.1518)
(0.1217, 0, -0.06731);(-0.25, 0.46, -0.015);(0, 0.46, -0.015);(-0.1611, 0.1204, 0.1768);(0.05211, 0.09032, 0.1286);(-0.09658, -0.09208, -0.07241);(0.08975, -0.07806, -0.1571)
(0.116, 0, -0.05471);(-0.25, 0.52, -0.015);(0, 0.52, -0.015);(-0.1656, 0.1876, 0.1908);(0.04713, 0.1532, 0.1374);(-0.1038, -0.02962, -0.05504);(0.08242, -0.02412, -0.1432)
(0.112, 0, -0.03377);(-0.25, 0.58, -0.015);(0, 0.58, -0.015);(-0.1697, 0.2494, 0.1953);(0.04137, 0.2149, 0.143);(-0.1106, 0.03432, -0.05303);(0.07373, 0.01931, -0.1256)
