sep=;
Pelvis Position;Left Hip;Left Thigh;Left Calf;Right Hip;Right Thigh;Right Calf
(-0.125, 0.4, -0.075);0.5012;0.5192;0.5142;0.5011;0.5186;0.5151
(-0.125, 0.46, -0.075);0.5052;0.519;0.514;0.5038;0.5246;0.5
(-0.125, 0.52, -0.075);0.5095;0.5098;0.5071;0.5058;0.5232;0.5046
(-0.125, 0.58, -0.075);0.5125;0.5065;0.5053;0.5072;0.5189;0.5068
(-0.125, 0.64, -0.075);0.514;0.5053;0.5015;0.5079;0.5147;0.5043
(-0.125, 0.7, -0.075);0.5142;0.5051;0.5003;0.5082;0.5114;0.5002
(-0.125, 0.4, -0.015);0.5138;0.5242;0.5012;0.5075;0.5428;0.5117
(-0.125, 0.46, -0.015);0.5164;0.5316;0.5031;0.5087;0.5529;0.5154
(-0.125, 0.52, -0.015);0.5193;0.5302;0.505;0.5098;0.5491;0.5121
(-0.125, 0.58, -0.015);0.5203;0.5313;0.5001;0.5106;0.5415;0.5055
(-0.125, 0.64, -0.015);0.5202;0.5293;0.5003;0.5111;0.5336;0.5002
(-0.125, 0.7, -0.015);0.5202;0.5252;0.5012;0.5116;0.5258;0.503
(-0.125, 0.4, 0.045);0.5178;0.5506;0.5008;0.5099;0.5582;0.51
(-0.125, 0.46, 0.045);0.5185;0.5595;0.5023;0.5097;0.5726;0.5002
(-0.125, 0.52, 0.045);0.5191;0.5618;0.5001;0.5101;0.5669;0.5
(-0.125, 0.58, 0.045);0.5191;0.5583;0.5008;0.5106;0.5561;0.5024
(-0.125, 0.64, 0.045);0.5192;0.5502;0.5019;0.5112;0.5435;0.5054
(-0.125, 0.7, 0.045);0.519;0.5412;0.5038;0.5116;0.5327;0.5016
(-0.065, 0.4, -0.075);0.5281;0.5444;0.5077;0.5163;0.5489;0.5
(-0.065, 0.46, -0.075);0.5358;0.5367;0.5094;0.5192;0.5508;0.5023
(-0.065, 0.52, -0.075);0.5385;0.5372;0.5007;0.521;0.5432;0.5018
(-0.065, 0.58, -0.075);0.5383;0.5351;0.5;0.5216;0.5353;0.5
(-0.065, 0.64, -0.075);0.5379;0.5307;0.5003;0.5217;0.5278;0.5039
(-0.065, 0.7, -0.075);0.5369;0.5253;0.5016;0.5216;0.5206;0.5167
(-0.065, 0.4, -0.015);0.535;0.5456;0.5005;0.5202;0.5458;0.5171
(-0.065, 0.46, -0.015);0.5354;0.5537;0.5012;0.52;0.557;0.5017
(-0.065, 0.52, -0.015);0.5353;0.5554;0.5004;0.5204;0.5532;0.5008
(-0.065, 0.58, -0.015);0.5346;0.5516;0.5014;0.5207;0.5443;0.5051
(-0.065, 0.64, -0.015);0.5338;0.5443;0.5028;0.521;0.5341;0.5009
(-0.065, 0.7, -0.015);0.5327;0.5363;0.5048;0.5208;0.5255;0.5003
(-0.065, 0.4, 0.045);0.5281;0.5623;0.5004;0.5169;0.5532;0.5017
(-0.065, 0.46, 0.045);0.5266;0.5751;0.5012;0.5166;0.5613;0.5021
(-0.065, 0.52, 0.045);0.5258;0.5756;0.5009;0.5169;0.5572;0.5002
(-0.065, 0.58, 0.045);0.5252;0.5689;0.5024;0.5172;0.5485;0.5
(-0.065, 0.64, 0.045);0.5248;0.5581;0.5042;0.5173;0.5389;0.5
(-0.065, 0.7, 0.045);0.5241;0.5472;0.5065;0.517;0.5299;0.5002
(-0.005, 0.4, -0.075);0.5334;0.549;0.5092;0.5218;0.5397;0.503
(-0.005, 0.46, -0.075);0.5406;0.5402;0.5088;0.5241;0.5413;0.5006
(-0.005, 0.52, -0.075);0.5425;0.5393;0.5;0.5249;0.5351;0.5007
(-0.005, 0.58, -0.075);0.542;0.5371;0.5001;0.5246;0.5285;0.5087
(-0.005, 0.64, -0.075);0.541;0.5323;0.5009;0.5242;0.5212;0.5168
(-0.005, 0.7, -0.075);0.5396;0.5266;0.5026;0.5237;0.5147;0.5038
(-0.005, 0.4, -0.015);0.5368;0.5464;0.5005;0.5207;0.5363;0.5047
(-0.005, 0.46, -0.015);0.5365;0.555;0.5012;0.5208;0.543;0.5037
(-0.005, 0.52, -0.015);0.536;0.5564;0.5007;0.5212;0.5402;0.5011
(-0.005, 0.58, -0.015);0.5352;0.5523;0.5016;0.5215;0.5334;0.5
(-0.005, 0.64, -0.015);0.5342;0.5449;0.5031;0.5214;0.526;0.5001
(-0.005, 0.7, -0.015);0.533;0.5368;0.5052;0.5209;0.5194;0.5
(-0.005, 0.4, 0.045);0.5281;0.5624;0.5004;0.5161;0.5447;0.5005
(-0.005, 0.46, 0.045);0.5264;0.5749;0.5015;0.5156;0.5516;0.5007
(-0.005, 0.52, 0.045);0.5256;0.5755;0.5014;0.5159;0.5477;0.5
(-0.005, 0.58, 0.045);0.5251;0.5685;0.5026;0.5162;0.5399;0.5002
(-0.005, 0.64, 0.045);0.5247;0.5579;0.5044;0.5162;0.5316;0.5
(-0.005, 0.7, 0.045);0.524;0.5471;0.5068;0.5158;0.524;0.5003
(0.055, 0.4, -0.075);0.5324;0.5488;0.5103;0.5195;0.533;0.5038
(0.055, 0.46, -0.075);0.535;0.5525;0.5174;0.5216;0.5332;0.5025
(0.055, 0.52, -0.075);0.5349;0.5539;0.5104;0.5224;0.5274;0.5028
(0.055, 0.58, -0.075);0.5352;0.5469;0.5032;0.5219;0.5218;0.5166
(0.055, 0.64, -0.075);0.5354;0.5381;0.5003;0.5218;0.5151;0.5061
(0.055, 0.7, -0.075);0.535;0.5298;0.5003;0.5214;0.5099;0.5011
(0.055, 0.4, -0.015);0.5329;0.5474;0.5006;0.5177;0.5285;0.5019
(0.055, 0.46, -0.015);0.5331;0.5536;0.501;0.5178;0.5338;0.5017
(0.055, 0.52, -0.015);0.5329;0.5535;0.5007;0.5183;0.5312;0.5005
(0.055, 0.58, -0.015);0.5324;0.5492;0.5013;0.5186;0.5254;0.5001
(0.055, 0.64, -0.015);0.5318;0.5423;0.5027;0.5186;0.5194;0.5002
(0.055, 0.7, -0.015);0.5307;0.5347;0.5049;0.5181;0.5141;0.5
(0.055, 0.4, 0.045);0.5258;0.5578;0.5005;0.5132;0.5367;0.5003
(0.055, 0.46, 0.045);0.5241;0.5687;0.5016;0.5128;0.5427;0.5004
(0.055, 0.52, 0.045);0.5235;0.569;0.5019;0.5132;0.5391;0.5
(0.055, 0.58, 0.045);0.5232;0.5628;0.5027;0.5136;0.5322;0.5004
(0.055, 0.64, 0.045);0.5229;0.5536;0.5044;0.5137;0.5252;0.5
(0.055, 0.7, 0.045);0.5223;0.5438;0.5069;0.5133;0.5188;0.5005
(0.115, 0.4, -0.075);0.5292;0.5452;0.5115;0.5159;0.5275;0.5043
(0.115, 0.46, -0.075);0.5316;0.5463;0.5111;0.5178;0.5269;0.5037
(0.115, 0.52, -0.075);0.5318;0.545;0.5075;0.5186;0.5215;0.5048
(0.115, 0.58, -0.075);0.5322;0.5394;0.5022;0.5181;0.5169;0.5235
(0.115, 0.64, -0.075);0.5324;0.5323;0.5001;0.5178;0.5114;0.5162
(0.115, 0.7, -0.075);0.532;0.5255;0.5005;0.5176;0.5069;0.5032
(0.115, 0.4, -0.015);0.5292;0.5401;0.5006;0.514;0.5224;0.5033
(0.115, 0.46, -0.015);0.529;0.5454;0.5009;0.5141;0.5268;0.5024
(0.115, 0.52, -0.015);0.5289;0.545;0.5008;0.5145;0.5246;0.5007
(0.115, 0.58, -0.015);0.5287;0.5418;0.5014;0.5149;0.5198;0.5001
(0.115, 0.64, -0.015);0.5282;0.5362;0.5029;0.5151;0.5148;0.5002
(0.115, 0.7, -0.015);0.5274;0.5299;0.5051;0.5148;0.5106;0.5001
(0.115, 0.4, 0.045);0.5224;0.5491;0.5005;0.5103;0.5296;0.5004
(0.115, 0.46, 0.045);0.5208;0.5581;0.5016;0.51;0.5347;0.5005
(0.115, 0.52, 0.045);0.5204;0.5582;0.5019;0.5103;0.5318;0.5
