sep=;
Balanced?;Pelvis;Left Hip;Left Knee;Right Hip;Right Knee
(0, -3.506, -25.53);(-175.5, -21.98, -3.493);(-27.84, -12.36, 10.12);(0, 3.396, 25.54);(-173.7, -20.13, -3.261);(-11.55, 62, -77.64)
(0, -6.347, -24.16);(-159.2, -27.74, 1.072);(-35.92, -14.94, 16.8);(0, 5.568, 24.85);(-178.4, -26.02, -1.949);(136.8, 114.7, -128.7)
(0, -7.819, -23.44);(-149, -27.63, 3.888);(-57.77, -16.87, 17.82);(0, 6.344, 24.54);(-177, -25.22, -0.8967);(127.9, 113, -142.6)
(0, -7.668, -24.32);(-203.5, -50.07, -6.445);(-143.2, 12.27, -54.47);(0, 5.892, 26.45);(-222.8, -39.02, -11.8);(58.72, 173.2, -99.14)
(0, -7.734, -24.68);(-211.2, -48.39, -8.756);(58.26, 50.12, -31.74);(0, 6.599, 26.5);(-227.3, -36.67, -12.31);(74.3, 168.2, -89.6)
(0, -7.183, -25.31);(-216.3, -45.12, -11.59);(205.6, 48.22, 6.73);(0, 7.024, 25.92);(-223.1, -30.91, -9.791);(111.6, 160.2, -101)
(0, -9.993, -26.61);(-240.1, -37.06, -19.54);(187.6, 38, 11.37);(0, 10.13, 26.52);(-242.7, -18.94, -13.01);(105.2, 144.6, -57.29)
(0, -11.36, -25.26);(-242.4, -25.67, -16.43);(203, 29.29, 9.23);(0, 11.46, 24.97);(-243.2, -8.917, -11.6);(125, 126.5, -71.59)
(0, -11.86, -24.21);(-240.6, -18.17, -14.7);(222.1, 18.98, 11.87);(0, 11.86, 24.01);(-240.1, -2.605, -11.43);(162.1, 117.2, -87.04)
(0, -11.31, -27.1);(-243.2, -15.36, -17.84);(179.2, 21.99, 9.686);(0, 11.3, 26.56);(-244.8, 3.162, -10.32);(87.27, 163.2, -59.19)
(0, -11.4, -27.33);(-242.7, -11.85, -17.99);(211.3, 14.97, 14.29);(0, 11.36, 26.49);(-244.7, 8.462, -10.28);(117, 166.3, -60.12)
(0, -11.57, -26.25);(-244.7, -9.672, -17.57);(218.5, 6.043, 16.76);(0, 11.41, 25.54);(-244.7, 11.97, -11.58);(136.8, 157.6, -77.25)
(0, -14.58, -25.73);(-238.5, 13.28, -15.93);(217.3, -10.69, 14.15);(0, 13.97, 24.85);(-240.9, 37.3, -8.383);(141.2, 127.3, -46.31)
(0, -15.33, -23.55);(-244.6, 22.34, -19.32);(221.1, -18.07, 16.54);(0, 14.57, 23.14);(-243.6, 44.68, -13.56);(161.4, 113.8, -62.33)
(0, -15.54, -22.27);(-248.2, 24.93, -22.99);(208.1, -22.24, 20.08);(0, 14.65, 22.11);(-244.7, 46.14, -18.8);(179.7, 106, -79.2)
(0, -15.87, -23.1);(-240.6, 35.61, -17.35);(166.8, -32.02, 14.88);(0, 14.11, 23.79);(-235.3, 61.64, -6.165);(150.9, 148.1, -59.67)
(0, -16.02, -22.98);(-239.9, 36.89, -17.13);(196, -32.33, 14.83);(0, 13.93, 23.63);(-235.5, 64.01, -7.165);(151.5, 149.5, -63.94)
(0, -15.77, -22.68);(-243.6, 34.51, -19.63);(151.7, -31.21, 16.69);(0, 13.91, 22.89);(-239.1, 61.69, -13.37);(117.3, 145.4, -79.5)
