sep=,
k (spring constant),r (bone width),theta (joint angle),theta in radians,x (displacement),F (force),E (Energy),sin pi - theta,sin theta/2,sin ratio,
200000,0.05,170,2.967059728,0.008715574,1743.114855,7.596123494,0.173648178,0.996194698,0.174311485,
200000,0.05,160,2.792526803,0.017364818,3472.963553,30.15368961,0.342020143,0.984807753,0.347296355,
200000,0.05,150,2.617993878,0.025881905,5176.380902,66.98729811,0.5,0.965925826,0.51763809,
200000,0.05,140,2.443460953,0.034202014,6840.402867,116.9777784,0.64278761,0.939692621,0.684040287,
200000,0.05,130,2.268928028,0.042261826,8452.365235,178.6061952,0.766044443,0.906307787,0.845236523,
200000,0.05,120,2.094395102,0.05,10000,250,0.866025404,0.866025404,1,
200000,0.05,110,1.919862177,0.057357644,11471.52873,328.9899283,0.939692621,0.819152044,1.147152873,
200000,0.05,100,1.745329252,0.064278761,12855.75219,413.1759112,0.984807753,0.766044443,1.285575219,
200000,0.05,90,1.570796327,0.070710678,14142.13562,500,1,0.707106781,1.414213562,
20000,0.05,170,2.967059728,0.008715574,174.3114855,0.759612349,0.173648178,0.996194698,0.174311485,
20000,0.05,160,2.792526803,0.017364818,347.2963553,3.015368961,0.342020143,0.984807753,0.347296355,
20000,0.05,150,2.617993878,0.025881905,517.6380902,6.698729811,0.5,0.965925826,0.51763809,
20000,0.05,140,2.443460953,0.034202014,684.0402867,11.69777784,0.64278761,0.939692621,0.684040287,
20000,0.05,130,2.268928028,0.042261826,845.2365235,17.86061952,0.766044443,0.906307787,0.845236523,
20000,0.05,120,2.094395102,0.05,1000,25,0.866025404,0.866025404,1,
20000,0.05,110,1.919862177,0.057357644,1147.152873,32.89899283,0.939692621,0.819152044,1.147152873,
20000,0.05,100,1.745329252,0.064278761,1285.575219,41.31759112,0.984807753,0.766044443,1.285575219,
20000,0.05,90,1.570796327,0.070710678,1414.213562,50,1,0.707106781,1.414213562,
24000,0.05,90,1.570796327,0.070710678,1697.056275,60,1,0.707106781,1.414213562,
16000,0.05,90,1.570796327,0.070710678,1131.37085,40,1,0.707106781,1.414213562,
40000,0.05,90,1.570796327,0.070710678,2828.427125,100,1,0.707106781,1.414213562,
