sep=;
Pelvis Position;COM;Instant Linear Accel;Accel Error;Total Energy
-0.125,1.4,-0.075;-0.1132,1.498,-0.08126;20.95,-48.22,50.79;0;1541
-0.125,1.44,-0.075;-0.1091,1.544,-0.07194;42.55,-80.36,77.83;0;1566
-0.125,1.48,-0.075;-0.108,1.587,-0.06458;44.47,-77.65,78.27;0;1571
-0.125,1.52,-0.075;-0.1081,1.628,-0.05913;44.51,-71.28,80.31;0;1569
-0.125,1.56,-0.075;-0.1086,1.668,-0.05563;44.97,-68.25,84.5;0;1567
-0.125,1.6,-0.075;-0.1093,1.708,-0.05367;46.04,-68.78,91.33;0;1565
-0.125,1.4,-0.035;-0.1072,1.514,-0.01812;51.83,-92.64,79.57;0;1612
-0.125,1.44,-0.035;-0.1075,1.556,-0.01708;52.3,-100.1,75.33;0;1634
-0.125,1.48,-0.035;-0.1084,1.597,-0.01513;52.35,-102.3,76.2;0;1640
-0.125,1.52,-0.035;-0.1094,1.638,-0.01352;52.83,-107.1,82.52;0;1637
-0.125,1.56,-0.035;-0.1103,1.677,-0.0127;53.05,-114,89.89;0;1633
-0.125,1.6,-0.035;-0.1112,1.716,-0.01222;51.08,-106.9,89.69;0;1624
-0.125,1.4,0.005;-0.1095,1.52,0.02411;56.25,-120.5,70.93;0;1673
-0.125,1.44,0.005;-0.1096,1.562,0.02388;56.63,-124.5,64.75;0;1694
-0.125,1.48,0.005;-0.1103,1.602,0.02444;56.45,-129,66.2;0;1696
-0.125,1.52,0.005;-0.1112,1.641,0.02502;54.55,-128.3,69.8;0;1685
-0.125,1.56,0.005;-0.112,1.68,0.02564;51.87,-122.2,73.13;0;1670
-0.125,1.6,0.005;-0.1126,1.718,0.02647;48.56,-111.3,75.32;0;1652
-0.125,1.4,0.045;-0.1106,1.521,0.06271;53.65,-124.7,59.95;0;1699
-0.125,1.44,0.045;-0.1106,1.562,0.06177;56.29,-130.5,53.93;0;1722
-0.125,1.48,0.045;-0.1112,1.602,0.06178;55.35,-132.3,54.23;0;1721
-0.125,1.52,0.045;-0.1119,1.641,0.06206;52.25,-126.4,56.31;0;1706
-0.125,1.56,0.045;-0.1125,1.68,0.06279;48.68,-118.7,60.47;0;1685
-0.125,1.6,0.045;-0.113,1.718,0.06356;44.88,-108.3,63.63;0;1663
-0.085,1.4,-0.075;-0.07378,1.523,-0.05212;56.64,-140.5,71.29;0;1697
-0.085,1.44,-0.075;-0.07494,1.565,-0.05079;54.55,-142.8,67.64;0;1712
-0.085,1.48,-0.075;-0.07596,1.604,-0.04938;51.73,-142.2,73.46;0;1701
-0.085,1.52,-0.075;-0.07679,1.643,-0.04811;48.83,-139,80.57;0;1686
-0.085,1.56,-0.075;-0.07747,1.682,-0.04692;46.02,-131.4,87.12;0;1669
-0.085,1.6,-0.075;-0.07802,1.72,-0.0458;43.18,-119.1,90.72;0;1651
-0.085,1.4,-0.035;-0.07662,1.524,-0.007768;45.72,-119,71.1;0;1690
-0.085,1.44,-0.035;-0.07664,1.565,-0.007535;47.14,-124.4,68.57;0;1705
-0.085,1.48,-0.035;-0.07704,1.606,-0.007086;47.05,-127.4,70.42;0;1704
-0.085,1.52,-0.035;-0.07757,1.645,-0.006878;44.94,-120.9,70.68;0;1694
-0.085,1.56,-0.035;-0.07803,1.683,-0.006225;42.33,-112.1,72.97;0;1678
-0.085,1.6,-0.035;-0.07837,1.722,-0.005571;39.44,-101.7,74.56;0;1661
-0.085,1.4,0.005;-0.07683,1.524,0.03094;42.2,-113.2,62.05;0;1698
-0.085,1.44,0.005;-0.07669,1.565,0.03017;44.42,-118.1,57.66;0;1714
-0.085,1.48,0.005;-0.07704,1.605,0.03013;44.14,-121.3,58.44;0;1714
-0.085,1.52,0.005;-0.07748,1.644,0.03018;41.64,-115.5,59.3;0;1702
-0.085,1.56,0.005;-0.07785,1.683,0.03064;38.89,-108.4,62.35;0;1684
-0.085,1.6,0.005;-0.07813,1.721,0.03108;35.94,-99.08,64.4;0;1665
-0.085,1.4,0.045;-0.07659,1.523,0.06672;39.3,-113.8,52.92;0;1707
-0.085,1.44,0.045;-0.07638,1.564,0.06546;41.8,-117.9,47.51;0;1725
-0.085,1.48,0.045;-0.07673,1.603,0.06525;41.55,-120.3,48.21;0;1723
-0.085,1.52,0.045;-0.07717,1.642,0.06529;39.34,-115.1,50.03;0;1710
-0.085,1.56,0.045;-0.07756,1.681,0.06573;36.63,-108.6,53.75;0;1689
-0.085,1.6,0.045;-0.07784,1.719,0.06617;33.51,-99.43,56.4;0;1667
-0.045,1.4,-0.075;-0.0395,1.524,-0.0496;45.17,-129.6,64.01;0;1698
-0.045,1.44,-0.075;-0.04102,1.565,-0.04861;43.01,-133.8,61.38;0;1711
-0.045,1.48,-0.075;-0.04201,1.605,-0.04745;40.4,-132.5,66.14;0;1700
-0.045,1.52,-0.075;-0.0427,1.644,-0.04639;38.25,-129.1,72.86;0;1684
-0.045,1.56,-0.075;-0.04316,1.682,-0.04536;36.37,-120.1,78;0;1666
-0.045,1.6,-0.075;-0.04349,1.721,-0.04419;33.76,-106.6,79.73;0;1648
-0.045,1.4,-0.035;-0.04266,1.524,-0.006659;33.92,-107.3,63.19;0;1682
-0.045,1.44,-0.035;-0.04268,1.565,-0.006428;35.47,-113.1,62.27;0;1695
-0.045,1.48,-0.035;-0.04292,1.606,-0.006021;35.6,-117.1,64.21;0;1695
-0.045,1.52,-0.035;-0.04319,1.645,-0.005872;34.01,-110.5,63.81;0;1686
-0.045,1.56,-0.035;-0.04339,1.684,-0.005268;31.99,-102.9,65.99;0;1671
-0.045,1.6,-0.035;-0.0435,1.722,-0.004702;29.64,-93.51,67.26;0;1655
-0.045,1.4,0.005;-0.04254,1.524,0.03134;30.56,-105.6,56.17;0;1691
-0.045,1.44,0.005;-0.04242,1.565,0.03046;32.61,-110.7,52.05;0;1706
-0.045,1.48,0.005;-0.04262,1.605,0.03039;32.96,-113.9,52.74;0;1705
-0.045,1.52,0.005;-0.04287,1.644,0.03043;31.34,-107.5,53.21;0;1694
-0.045,1.56,0.005;-0.04305,1.682,0.03093;29.34,-101,56.26;0;1677
-0.045,1.6,0.005;-0.04315,1.721,0.03138;26.89,-92.42,58.24;0;1658
-0.045,1.4,0.045;-0.04221,1.522,0.0666;28.37,-107.6,47.84;0;1699
-0.045,1.44,0.045;-0.04208,1.563,0.06529;30.72,-112.2,42.65;0;1717
-0.045,1.48,0.045;-0.0423,1.603,0.06508;31.05,-114.5,43.06;0;1715
-0.045,1.52,0.045;-0.04256,1.642,0.06515;29.67,-108.7,44.7;0;1702
-0.045,1.56,0.045;-0.04277,1.68,0.06568;27.67,-102.6,48.53;0;1682
-0.045,1.6,0.045;-0.04288,1.719,0.06617;25.02,-94.03,51.18;0;1661
-0.005,1.4,-0.075;-0.00529,1.523,-0.04962;31.74,-123.2,58.11;0;1689
-0.005,1.44,-0.075;-0.006876,1.565,-0.04852;29.42,-127.3,56.28;0;1699
-0.005,1.48,-0.075;-0.007714,1.605,-0.04729;27.36,-126,60.96;0;1688
-0.005,1.52,-0.075;-0.00818,1.644,-0.04621;26.12,-122.7,67.76;0;1673
-0.005,1.56,-0.075;-0.008417,1.682,-0.04511;24.98,-112.8,71.83;0;1656
-0.005,1.6,-0.075;-0.008575,1.721,-0.04389;23.29,-100.4,73.93;0;1639
-0.005,1.4,-0.035;-0.008425,1.524,-0.006714;22.13,-101.6,58.34;0;1671
-0.005,1.44,-0.035;-0.008501,1.565,-0.006528;23.28,-107.3,57.54;0;1683
-0.005,1.48,-0.035;-0.008587,1.605,-0.006104;23.75,-111.5,59.54;0;1683
-0.005,1.52,-0.035;-0.008649,1.644,-0.00594;22.96,-104.6,58.89;0;1675
-0.005,1.56,-0.035;-0.00863,1.683,-0.005284;21.69,-97.52,61.12;0;1661
-0.005,1.6,-0.035;-0.008538,1.722,-0.004698;19.92,-88.83,62.45;0;1645
-0.005,1.4,0.005;-0.008233,1.524,0.03104;19.33,-100.9,52;0;1678
-0.005,1.44,0.005;-0.00818,1.564,0.03013;21,-106.3,48.14;0;1693
-0.005,1.48,0.005;-0.008242,1.604,0.03008;21.76,-109.5,48.8;0;1693
-0.005,1.52,0.005;-0.00828,1.643,0.03016;20.94,-102.5,48.98;0;1682
-0.005,1.56,0.005;-0.008255,1.682,0.03074;19.65,-96.33,52.11;0;1666
-0.005,1.6,0.005;-0.008165,1.72,0.03123;17.74,-88.35,54.18;0;1648
-0.005,1.4,0.045;-0.00788,1.522,0.06619;17.64,-103.4,44.27;0;1687
-0.005,1.44,0.045;-0.007834,1.563,0.06487;19.62,-108.3,39.26;0;1704
-0.005,1.48,0.045;-0.00791,1.602,0.06469;20.37,-110.5,39.52;0;1702
