sep=;
Pelvis Position;COM;Instant Linear Accel;Accel Error;Total Energy
-0.125,1.4,-0.075;-0.1132,1.498,-0.08126;20.95,-48.22,50.79;0;1541
-0.125,1.5,-0.075;-0.1096,1.599,-0.06989;35.2,-55.28,78.41;0;1528
-0.125,1.6,-0.075;-0.1091,1.7,-0.06447;36.78,-46.39,73.85;0;1525
-0.125,1.4,0.025;-0.1061,1.508,0.02468;60.06,-61.27,49.17;0;1583
-0.125,1.5,0.025;-0.1076,1.609,0.02573;60.01,-97.55,78.55;0;1593
-0.125,1.6,0.025;-0.1094,1.707,0.02626;53.39,-127.1,101.9;0;1588
-0.025,1.4,-0.075;-0.0156,1.514,-0.07021;44.52,-151.5,71.36;0;1668
-0.025,1.5,-0.075;-0.01946,1.613,-0.0642;36.12,-148.5,91.29;0;1634
-0.025,1.6,-0.075;-0.0218,1.711,-0.06023;30.75,-144.8,113.5;0;1605
-0.025,1.4,0.025;-0.02289,1.517,0.03154;38.76,-152.9,55.9;0;1699
-0.025,1.5,0.025;-0.02425,1.617,0.03156;36.34,-165.4,57.17;0;1704
-0.025,1.6,0.025;-0.02526,1.714,0.03358;32.18,-163.9,75.47;0;1666
0.075,1.4,-0.075;0.06696,1.521,-0.06128;13.36,-171,52.6;0;1717
0.075,1.5,-0.075;0.06396,1.62,-0.05657;6.447,-167.8,78.34;0;1669
0.075,1.6,-0.075;0.06266,1.718,-0.05352;4.128,-158.3,99.36;0;1636
0.075,1.4,0.025;0.06024,1.522,0.04158;4.836,-159.1,59.05;0;1683
0.075,1.5,0.025;0.05964,1.622,0.0418;4.687,-164.3,61.96;0;1680
0.075,1.6,0.025;0.05984,1.72,0.04274;5.839,-145.8,69.02;0;1656
